high,low,volume,close,open,time
261.0,257.6014,21535812.0,260.57,259.47,1618545600
261.48,257.821,19016234.0,258.91,260.19,1618804800
260.2,256.84,17495184.0,258.28,257.82,1618891200
260.68,257.25,21082828.0,260.62,258.94,1618977600
261.78,255.64,25541599.0,257.17,260.21,1619064000
261.51,257.27,21471831.0,261.15,257.88,1619150400
262.435,260.17,19721884.0,261.55,261.66,1619409600
263.19,260.12,30861870.0,261.97,261.585,1619496000
256.5399,252.95,45987256.0,254.56,256.078,1619582400
256.1,249.0,40231009.0,252.51,255.46,1619668800
253.08,249.6,30831722.0,252.18,249.74,1619755200
254.35,251.12,19615352.0,251.86,253.4,1620014400
251.068,245.76,32417348.0,247.79,250.97,1620100800
249.5,245.82,21809566.0,246.47,249.05,1620187200
249.86,244.69,22497274.0,249.71,246.45,1620273600
254.3,251.17,27002326.0,252.46,252.15,1620360000
251.73,247.12,29007607.0,247.18,250.87,1620619200
246.6,242.57,33534608.0,246.23,244.55,1620705600
244.38,238.07,32435005.0,239.03,242.165,1620792000
245.6,241.42,26631555.0,242.98,241.8,1620878400
249.18,245.49,23777039.0,248.15,245.575,1620964800
246.59,243.52,24970070.0,245.18,246.55,1621224000
246.41,242.9,20167293.0,243.08,246.27,1621310400
243.23,238.6,25739374.0,243.12,239.31,1621396800
247.95,243.86,21800519.0,246.48,243.92,1621483200
248.33,244.74,21917358.0,245.17,247.565,1621569600
251.16,247.51,21411347.0,250.78,247.785,1621828800
252.75,250.82,17703671.0,251.72,251.769,1621915200
252.94,250.75,17771600.0,251.49,251.43,1622001600
251.48,249.25,24425554.0,249.31,251.17,1622088000
252.08,249.56,18273207.0,249.68,250.92,1622174400
251.29,246.96,23212720.0,247.4,251.23,1622520000
249.27,245.84,19406705.0,247.3,248.125,1622606400
246.34,243.0,25307611.0,245.71,245.22,1622692800
251.65,247.51,25280718.0,250.79,247.76,1622779200
254.09,249.81,23077887.0,253.81,249.98,1623038400
256.01,252.51,22454998.0,252.57,255.16,1623124800
255.53,253.21,17937135.0,253.59,253.81,1623211200
257.46,253.67,24486534.0,257.24,254.29,1623297600
258.4868,256.61,18923285.0,257.89,257.985,1623384000
259.95,256.8,19060877.0,259.89,257.9,1623643200
259.99,257.68,18021659.0,258.36,259.775,1623729600
