high,low,volume,close,open,time
124.37,119.01,38017886.0,119.84,123.85,1559534400
123.28,120.6522,29466692.0,123.16,121.28,1559620800
125.87,124.21,24932943.0,125.83,124.95,1559707200
127.97,125.6,21459001.0,127.82,126.44,1559793600
132.25,128.26,33886238.0,131.4,129.19,1559880000
134.08,132.0,26477798.0,132.6,132.4,1560139200
134.24,131.2757,23913887.0,132.1,133.88,1560225600
131.97,130.71,17092564.0,131.49,131.4,1560312000
133.0,131.56,17202711.0,132.32,131.98,1560398400
133.79,131.64,17821703.0,132.45,132.26,1560484800
133.73,132.53,14518035.0,132.85,132.63,1560744000
135.24,133.57,25949487.0,135.16,134.19,1560830400
135.93,133.81,23744441.0,135.69,135.0,1560916800
137.66,135.72,33092802.0,136.95,137.45,1561003200
137.73,136.46,36900235.0,136.97,136.58,1561089600
138.4,137.0,20629072.0,137.78,137.0,1561348800
137.59,132.73,33384873.0,133.43,137.25,1561435200
135.74,133.6,23657914.0,133.93,134.35,1561521600
134.71,133.51,16557490.0,134.15,134.17,1561608000
134.6,133.1558,30044934.0,133.8,134.57,1561694400
136.7,134.97,22686920.0,135.68,136.63,1561953600
136.59,135.34,15237843.0,136.58,136.12,1562040000
137.74,136.295,13629399.0,137.46,136.8,1562126400
137.33,135.72,18141141.0,137.06,135.94,1562299200
137.1,135.3701,16820023.0,136.96,136.4,1562558400
136.97,135.8,19953102.0,136.46,136.0,1562644800
138.58,137.02,24204362.0,137.85,137.13,1562731200
139.22,137.87,22328118.0,138.4,138.2,1562817600
139.13,138.0099,18937590.0,138.9,138.85,1562904000
139.54,138.46,16651652.0,138.9,139.44,1563163200
139.05,136.52,22726630.0,137.08,138.96,1563249600
137.93,136.22,20210956.0,136.27,137.7,1563336000
136.62,134.67,30863322.0,136.42,135.55,1563422400
140.67,136.45,48993275.0,136.62,140.22,1563508800
139.19,137.33,25081060.0,138.43,137.41,1563768000
139.99,138.03,18034589.0,139.29,139.76,1563854400
140.74,138.85,21238465.0,140.72,138.9,1563940800
140.61,139.3215,18356888.0,140.19,140.43,1564027200
141.675,140.3,19076314.0,141.34,140.37,1564113600
141.51,139.3663,16606170.0,141.03,141.5,1564372800
141.2199,139.8005,16847128.0,140.35,140.14,1564459200
140.49,135.08,38706969.0,136.27,140.33,1564545600
140.9383,136.93,40557843.0,138.06,137.0,1564632000
138.32,135.26,30793142.0,136.9,138.09,1564718400
133.9298,130.78,42750774.0,132.21,133.3,1564977600
135.68,133.21,32696746.0,134.69,133.8,1565064000
135.65,131.8284,33414636.0,135.28,133.79,1565150400
138.99,135.93,27497171.0,138.89,136.6,1565236800
139.38,136.46,23466751.0,137.71,138.61,1565323200
137.86,135.24,20484348.0,135.79,137.07,1565582400
138.8,135.0,25497699.0,138.6,136.05,1565668800
136.92,133.67,32529365.0,133.98,136.36,1565755200
134.58,132.25,28125416.0,133.68,134.39,1565841600
136.46,134.72,25026716.0,136.13,134.88,1565928000
138.55,136.885,24370543.0,138.41,137.855,1566187200
138.71,137.24,21448773.0,137.26,138.19,1566273600
139.4935,138.0,14982609.0,138.79,138.55,1566360000
139.2,136.29,18709877.0,137.78,138.66,1566446400
138.35,132.8,38515410.0,133.39,137.1897,1566532800
135.56,133.9,20325664.0,135.45,134.99,1566792000
136.72,134.66,23119685.0,135.74,136.39,1566878400
135.76,133.55,17419668.0,135.56,134.88,1566964800
138.44,136.91,20227459.0,138.12,137.25,1567051200
139.18,136.27,23946343.0,137.79,139.15,1567137600
137.2,135.7,18912604.0,136.04,136.585,1567483200
137.69,136.48,18060798.0,137.63,137.3,1567569600
140.3837,138.76,26123145.0,140.05,139.11,1567656000
140.18,138.2,20862201.0,139.1,140.03,1567742400
139.75,136.46,25775709.0,137.52,139.59,1568001600
136.8862,134.51,28904418.0,136.08,136.8,1568088000
136.27,135.09,24726942.0,136.12,135.91,1568174400
138.42,136.87,27009981.0,137.52,137.85,1568260800
